# x, y, z, vx, vy, 0_x, 0_y, 1_x, 1_y
-1.315789,1.315789,0.000000,1.243492,-0.379113,7.353890,1.446243,0.000000,0.000000
-1.315789,1.842105,0.000000,1.195641,-0.510335,7.406377,-0.269653,0.000000,0.000000
-1.315789,2.368421,0.000000,1.139667,-0.625427,5.726423,-1.522505,0.000000,0.000000
-1.315789,2.894737,0.000000,1.079636,-0.724146,3.564512,-1.860123,0.000000,0.000000
-1.315789,3.421053,0.000000,1.018756,-0.807550,1.882758,-1.603121,0.000000,0.000000
-1.315789,3.947368,0.000000,0.959271,-0.877382,0.862204,-1.184216,0.000000,0.000000
-1.315789,4.473684,0.000000,0.902580,-0.935601,0.315717,-0.826579,0.000000,0.000000
-1.315789,5.000000,0.000000,0.849436,-0.984103,0.012060,-0.622629,0.000000,0.000000
-0.789474,-5.000000,0.000000,0.785225,1.036061,0.000000,0.000000,-0.128631,0.962295
-0.789474,-4.473684,0.000000,0.840248,0.991959,0.000000,0.000000,0.369502,1.337037
-0.789474,-3.947368,0.000000,0.900291,0.937804,0.000000,0.000000,1.407073,2.291955
-0.789474,-3.421053,0.000000,0.964948,0.871134,0.000000,0.000000,4.009202,3.919901
-0.789474,-2.894737,0.000000,1.033072,0.789152,0.000000,0.000000,10.068284,6.056275
-0.789474,-2.368421,0.000000,1.102398,0.688999,0.000000,0.000000,21.377889,6.899474
-0.789474,-1.842105,0.000000,1.169178,0.568351,0.000000,0.000000,33.727721,2.688676
-0.789474,-1.315789,0.000000,1.228076,0.426415,0.000000,0.000000,34.398448,-5.607184
-0.789474,-0.789474,0.000000,1.272675,0.265141,-0.080352,7.913160,22.012185,-9.743603
-0.789474,-0.263158,0.000000,1.296877,0.090061,3.230203,5.243276,9.742705,-8.118136
-0.789474,0.263158,0.000000,1.296877,-0.090061,9.742705,8.118136,3.230203,-5.243276
-0.789474,0.789474,0.000000,1.272675,-0.265141,22.012185,9.743603,-0.080352,-7.913160
-0.789474,1.315789,0.000000,1.228076,-0.426415,34.398448,5.607184,0.000000,0.000000
-0.789474,1.842105,0.000000,1.169178,-0.568351,33.727721,-2.688676,0.000000,0.000000
-0.789474,2.368421,0.000000,1.102398,-0.688999,21.377889,-6.899474,0.000000,0.000000
-0.789474,2.894737,0.000000,1.033072,-0.789152,10.068284,-6.056275,0.000000,0.000000
-0.789474,3.421053,0.000000,0.964948,-0.871134,4.009202,-3.919901,0.000000,0.000000
-0.789474,3.947368,0.000000,0.900291,-0.937804,1.407073,-2.291955,0.000000,0.000000
